UniprotID	ID	lineage	domain	phylum	class	order	family	genus	species
A0A1F7PAF4	UNIPROT:A0A1F7PAF4_9BACT	d__Bacteria;p__CandidatusRokubacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusRokubacteria	c__	o__	f__	g__	s__
A0A7V0Z099	UNIPROT:A0A7V0Z099_UNCDE	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A521XHE7	UNIPROT:A0A521XHE7_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A0F2QT37	UNIPROT:A0A0F2QT37_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfosarcinaceae	g__Desulfatitalea	s__
A0A838LW76	UNIPROT:A0A838LW76_9RHOO	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__	s__
A0A1F4D364	UNIPROT:A0A1F4D364_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A7Y3YJU5	UNIPROT:A0A7Y3YJU5_9VIBR	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__
A0A1F4FCK0	UNIPROT:A0A1F4FCK0_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A1F9IFL6	UNIPROT:A0A1F9IFL6_9DELT	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A1F3YCN9	UNIPROT:A0A1F3YCN9_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A1F4E312	UNIPROT:A0A1F4E312_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A7C4I519	UNIPROT:A0A7C4I519_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A8J6UGP4	UNIPROT:A0A8J6UGP4_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Pelovirga;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__Pelovirga	s__
A0A1F9BXH3	UNIPROT:A0A1F9BXH3_9DELT	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A7C2UHK9	UNIPROT:A0A7C2UHK9_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A7Y3XGZ2	UNIPROT:A0A7Y3XGZ2_UNCPL	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Planctomycetota	c__	o__	f__	g__	s__
A0A522V6K6	UNIPROT:A0A522V6K6_UNCNT	d__Bacteria;p__Nitrospirota;c__;o__;f__;g__;s__	d__Bacteria	p__Nitrospirota	c__	o__	f__	g__	s__
A0A7C1FGR4	UNIPROT:A0A7C1FGR4_UNCNT	d__Bacteria;p__Nitrospirota;c__;o__;f__;g__;s__	d__Bacteria	p__Nitrospirota	c__	o__	f__	g__	s__
A0A7V5AL79	UNIPROT:A0A7V5AL79_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophobacteria;o__Syntrophobacterales;f__;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Syntrophobacteria	o__Syntrophobacterales	f__	g__	s__
A0A2N2GT23	UNIPROT:A0A2N2GT23_9DELT	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A1W9M133	UNIPROT:A0A1W9M133_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__	s__
A0A3M2G3U2	UNIPROT:A0A3M2G3U2_UNCGE	d__Bacteria;p__Gemmatimonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Gemmatimonadota	c__	o__	f__	g__	s__
A0A358PYB9	UNIPROT:A0A358PYB9_9FIRM	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__
A0A1F8YL80	UNIPROT:A0A1F8YL80_9DELT	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A3A6NZN6	UNIPROT:A0A3A6NZN6_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfarculus;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfarculia	o__Desulfarculales	f__Desulfarculaceae	g__Desulfarculus	s__
A0A0F2S5K0	UNIPROT:A0A0F2S5K0_9FIRM	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__;s__	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Peptococcaceae	g__	s__
